T Size = 100, Epochs = 1, Batch Size = 40, Lambda = 0.5, epsilon = 0.001
Iteration,delta_h1,delta_h2,delta_random,delta_stratified,delta_auc_surr
1,0.0179,0.0178,0.0470,0.2312,0.1544
2,0.0076,0.0068,0.1423,0.1537,0.2157

1,-0.0294,-0.0298,0.1508,0.0083,0.4074
2,-0.0188,-0.0173,0.4614,-0.2292,0.2778
3,-0.0102,-0.0094,-0.0328,0.1583,0.2731
4,-0.0013,-0.0020,0.3077,0.3755,0.2478
5,0.0030,0.0034,0.2659,0.0776,0.2227

T Change

Iteration,delta_h1,delta_h2,delta_random,delta_stratified,delta_auc_surr

T Size = 200, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0634,0.0633,0.2604,0.1753,0.1429
2,0.0623,0.0624,0.2834,0.0125,0.0644
3,0.0619,0.0619,0.2400,-0.0544,0.0723
4,0.0610,0.0609,0.2976,0.2588,0.0933
5,0.0576,0.0575,0.2014,0.1643,0.1179

T Size = 300, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0014,0.0013,0.0898,-0.0872,0.1719
2,-0.0054,-0.0052,0.0560,0.1117,0.1707
3,-0.0060,-0.0060,0.2749,0.1555,0.1351
4,-0.0104,-0.0103,0.0475,0.0253,0.1395
5,-0.0087,-0.0086,0.0022,0.1221,0.1368

T Size = 400, Epochs = 2, Batch Size = 100, Lambda = 0.5, epsilon = 0.0001
1,0.0277,0.0279,0.1297,-0.2119,0.0403,4.463270
2,0.0264,0.0263,-0.1348,-0.3392,0.0527,6.075513
3,0.0252,0.0252,0.1422,0.2262,0.0726,7.687397

